iter	Passed	Remaining
0	1612	1610400
1	3972	1982122
2	6213	2064876
3	8894	2214781
4	11061	2201150
5	13446	2227560
6	15942	2261590
7	18273	2265892
8	20281	2233202
9	22514	2228964
10	25105	2257237
11	27357	2252446
12	29760	2259524
13	31918	2247993
14	34098	2239151
15	36669	2255174
16	38979	2253920
17	40801	2225975
18	43183	2229657
19	45591	2233990
20	48005	2237964
21	50311	2236575
22	52366	2224457
23	54254	2206358
24	56492	2203217
25	58631	2196443
26	60802	2191137
27	63069	2189426
28	65104	2179875
29	67176	2172036
30	69277	2165479
31	71299	2156812
32	73471	2152948
33	75580	2147379
34	77906	2148004
35	80085	2144521
36	82078	2136259
37	84197	2131516
38	86292	2126327
39	88386	2121280
40	90344	2113191
41	92845	2117772
42	94888	2111818
43	96951	2106491
44	98853	2097889
45	100418	2082602
46	102556	2079487
47	104843	2079396
48	106970	2076094
49	109001	2071020
50	110908	2063764
51	112903	2058310
52	114921	2053402
53	116807	2046297
54	118624	2038178
55	120707	2034775
56	122647	2029068
57	125043	2030884
58	127058	2026483
59	129252	2024958
60	131500	2024247
61	133724	2023126
62	135783	2019509
63	137653	2013179
64	139828	2011376
65	141985	2009304
66	144189	2007888
67	146108	2002549
68	148242	2000193
69	150245	1996118
70	152387	1993918
71	154367	1989622
72	156402	1986096
73	158281	1980663
74	160756	1982667
75	162982	1981522
76	164869	1976296
77	166776	1971387
78	168876	1968803
79	170946	1965883
80	172998	1962780
81	174963	1958742
82	176718	1952422
83	178631	1947930
84	180421	1942183
85	182467	1939245
86	184422	1935379
87	186598	1933840
88	188660	1931122
89	190545	1926628
90	192463	1922519
91	194626	1920882
92	196815	1919477
93	198817	1916262
94	200786	1912753
95	202941	1911033
96	204942	1907864
97	206947	1904759
98	208960	1901752
99	211025	1899230
100	213147	1897222
101	215460	1896894
102	217557	1894655
103	219570	1891685
104	221468	1887753
105	223542	1885344
106	225882	1885166
107	227870	1882041
108	230194	1881681
109	232337	1879824
110	234410	1877397
111	236698	1876677
112	239058	1876505
113	241225	1874789
114	243395	1873089
115	245652	1872038
116	247834	1870407
117	250224	1870325
118	252196	1867101
119	254364	1865338
120	256434	1862861
121	258514	1860453
122	260476	1857216
123	262494	1854396
124	264424	1850974
125	266573	1849088
126	268522	1845829
